name,product_type,availability,price,original_price,discount_amount,discount_percentage,has_discount,buen_fin_discount,black_friday_discount,image,reviews_count,rating
"HUAWEI MatePad SE 11, 8G+128G, Tablet M-Pencil Incluido, Pantalla FullView de 11”, Superbatería de 7700 mAh, Wi-Fi/Bluetooth, Gris",tablet,Available,3799.0,5999.0,2200.0,36.67,Yes,False,False,https://m.media-amazon.com/images/I/617aqo-u5bL._AC_UL320_.jpg,108.0,4.6
"SAMSUNG- Galaxy Tab S6 Lite (2024) - Gris 10.4” 128GB WiFi Android Tablet W/s Pen, Altavoces Duales, 8MP+5MP",tablet,Available,5687.75,5687.75,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61vsK7h3zVL._AC_UL320_.jpg,37.0,4.2
"Samsung Galaxy Tab S9 Beige 12GB RAM 256GB, AI, Spen, Nacional con Garantía",tablet,Out of Stock,,0.0,2200.0,36.67,Yes,False,False,https://m.media-amazon.com/images/I/510bCXNfAZL._AC_UL320_.jpg,641.0,4.8
"SAMSUNG Galaxy Tab A SM-T307U| 8.4"" Pulgadas | Año 2020| 3GB RAM LPDDR4X| 32GB Almacenamiento eMMC 5.1 | Version Android 10 | (Reacondicionado)",tablet,Available,1752.0,1752.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51r-5ZRADdL._AC_UL320_.jpg,0.0,
"Lenovo Tab M10 | 10.1"" WUXGA Unisoc T610 4GB RAM 64GB | Dual Speaker Dolby Atmos, Cámara 8.0MP Frontal 5.0MP | Android 11",tablet,Available,3495.0,3899.0,404.0,10.36,Yes,False,False,https://m.media-amazon.com/images/I/61lnNweFKVL._AC_UL320_.jpg,57.0,4.2
"SAMSUNG Galaxy Tab S6 Lite - 10.4"", 64 GB, tableta Android con batería de larga duración, S Pen incluida, diseño metálico delgado, doble bocina AKG, gris Oxford (Reacondicionada)",tablet,Available,4286.21,4286.21,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/718B6zl+b6L._AC_UL320_.jpg,438.0,4.4
"Samsung Galaxy Tab A9+ Tablet Android de 11 pulgadas de 64 GB, visualización grande, altavoces cuádruple, chipset mejorado, visualización multiventana, delgado, ligero, diseño duradero, versión de EE.",tablet,Available,3754.09,3999.0,244.91,6.12,Yes,False,False,https://m.media-amazon.com/images/I/61d46oYQgdL._AC_UL320_.jpg,7249.0,4.5
"Samsung Galaxy Tab S6 Lite (2024) 10.4' 128GB WiFi Android Tablet, S Pen incluido, listo para juegos, batería de larga duración, diseño de metal delgado, almacenamiento expandible, versión de EE. UU.,",tablet,Available,6298.57,6298.57,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71-hJGtkLWL._AC_UL320_.jpg,1040.0,4.5
SAMSUNG Galaxy-Z Fold4 12GB + 512GB Beige (Reacondicionado),another,Available,16490.0,16490.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71+YFxl7f8L._AC_UL320_.jpg,0.0,
"Compaq Tab Pro 8 256 GB (128 exp) + Teclado + audifonos Noise Cancelling + Stylus Pen de Regalo I LCD 10.95"" I Android 13 I Qualcomm Snapdragon 680 I LTE I Camara Trasera 13Mp I 7000 mAh",tablet,Available,5999.0,7999.0,2000.0,25.0,Yes,False,False,https://m.media-amazon.com/images/I/51g9pBtBkhL._AC_UL320_.jpg,34.0,4.3
"YAPANIZCEL Funda Compatible con Samsung Galaxy Tab A9 8.7"" (SM-X115N, SM-X110N) 8.7 Pulgadas, Soporte lápiz S Pen + Stand, Correa Uso rudo Reforzada (Negro)",case,Available,351.1,399.0,47.9,12.01,Yes,False,False,https://m.media-amazon.com/images/I/61JmhtQ9JaL._AC_UL320_.jpg,24.0,4.9
"Bigqin 3 Piezas Pantalla Protector Compatible Con Samsung Galaxy Tab A9 8.7"" SM-X110 SM-X115, 9H Película Cristal Vidrio Templado HD Transparente Resistente Los Arañazos",tablet,Available,177.54,208.88,31.34,15.0,Yes,False,False,https://m.media-amazon.com/images/I/71JmMth8eEL._AC_UL320_.jpg,33.0,4.4
"SAMSUNG Galaxy Tab A9 (SM-X115), 64GB 4GB RAM, 4G LTE + WiFi, GSM desbloqueado de fábrica, versión internacional (azul marino)",tablet,Available,3166.35,3428.93,262.58,7.66,Yes,False,False,https://m.media-amazon.com/images/I/51sbL5feI7L._AC_UL320_.jpg,5.0,4.5
"SAMSUNG Galaxy Tab S9 FE+ Plus Tablet Android de 12.4 Pulgadas y 256 GB, batería de Larga duración, procesador Potente, lápiz S, cámara de 8 MP, diseño Ligero y Duradero, Almacenamiento expandible,",tablet,Available,12597.35,16459.0,3861.65,23.46,Yes,False,False,https://m.media-amazon.com/images/I/61VWKpk0YzL._AC_UL320_.jpg,2062.0,4.6
"OFGPPB Tablet Android 13 de 10pulgadas, con Teclado/ratón，Almacenamiento de 8 + 256 GB, 1920 * 1200HD IPS, cámara de 16 MP + 32 MP, CPU Snapdragon 888, 8000 mAh, WiFi/Bluetooth/GPS (Gris)",tablet,Available,1999.99,1999.99,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71A2AO6rrlL._AC_UL320_.jpg,6.0,5.0
"SAMSUNG Galaxy Tab A9+ 11 pulgadas 64GB Wi-Fi Android Tablet, visualización grande, altavoces cuádruple, chipset mejorado, visualización multiventana, diseño delgado, ligero, duradero, versión de EE.",tablet,Available,3527.63,3527.63,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51OMSBpi6mL._AC_UL320_.jpg,20.0,4.6
"SAMSUNG Tablet A7 Lite 32Gb 8.7"" Gris SM-T220NZAAXAR",tablet,Available,2753.58,2753.58,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/819hAP4xoGS._AC_UL320_.jpg,14498.0,4.7
"SAMSUNG Galaxy Tab A SM-T387 8"" Tablet - 32 GB Storage - WiFi and Verizon 4G - Black - (Renewed)",tablet,Available,1658.7,1658.7,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/81tytTAqCOL._AC_UL320_.jpg,388.0,3.7
Samsung Tablet Galaxy S9 FE 8GB 256GB Gris,tablet,Out of Stock,,0.0,3861.65,23.46,Yes,False,False,https://m.media-amazon.com/images/I/41pB+CA05qL._AC_UL320_.jpg,71.0,4.2
"SAMSUNG Galaxy Tab A9 4G LTE (64 GB, 4 GB, Celular) Tablet Android de 8.7 Pulgadas, Octa-Core (6 NM), Altavoces Dobles (Modelo Internacional Totalmente Desbloqueado para Mexico y Global) X115",tablet,Available,3465.77,3465.77,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51HL5sz4keL._AC_UL320_.jpg,59.0,4.3
"Acer Tablet ICONIA Tab A10 10.1"", 4 GB RAM, 64 GB, Android 12, Mediatek MTK MT8168, Quad-Core Arm",tablet,Available,1799.0,1799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51VG-vm5MiL._AC_UL320_.jpg,18.0,4.2
Samsung Tab A7 Lite 8.7 Gris 32GB (SM-T220NZAAXAR) (Reacondicionado),tablet,Available,2401.44,2401.44,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/819hAP4xoGS._AC_UL320_.jpg,710.0,4.1
"Apple iPad, 10.2 pulgadas, Wi-Fi, último modelo, , Wi-Fi, Gris espacial, 32 GB SSD(Reacondicionado)",another,Available,4299.82,4299.82,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/81IjVvOXGdL._AC_UL320_.jpg,8254.0,4.2
"SAMSUNG Galaxy Tab S7 FE 128 GB 12.4"" visualización WiFi Android Tablet - Mystic Green (reacondicionado)",tablet,Available,6255.21,6255.21,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/81wfWokJJPL._AC_UL320_.jpg,4.0,5.0
"SAMSUNG - Tableta Galaxy Tab S6 Lite de 10,4 Pulgadas, 64 GB, WiFi, Gris Oxford, SM-P610NZAAXAR, S Pen Incluido (renovado)",tablet,Available,4096.59,4096.59,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61-gynMDmiL._AC_UL320_.jpg,820.0,4.4
"Acer Tablet Iconia Tab M10 | 10.1"" WUXGA 1920 x 1200 IPS Touch | RAM 4GB, 64GB | Android 12 | CPU M8183C Quad-Core | Cámara Delantera de 5MP y Trasera de 8MP | Incluye Funda Protectora",tablet,Available,2499.0,3999.0,1500.0,37.51,Yes,False,False,https://m.media-amazon.com/images/I/61GwBF-EoVL._AC_UL320_.jpg,50.0,4.5
"SAMSUNG Galaxy Tab S6 Lite 2024 (128 GB, incluye S-Pen y cubierta de libro) 10.4 pulgadas Full HD, Android 14, modo Dex, Exynos 1280 5nm, batería todo el día Wi-Fi Tablet SM-P620 Modelo internacional",tablet,Available,6770.33,6770.33,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51o9v6+jiTL._AC_UL320_.jpg,7.0,4.4
"Tablet Samsung Galaxy Tab S8 Android, visualización LCD de 11 pulgadas, almacenamiento de 128 GB, productividad DeX, Qualcomm Snapdragon, S Pen incluido, batería para todo el día, cámara ultra ancha,",tablet,Available,7733.92,7733.92,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61oBVRcipDL._AC_UL320_.jpg,207.0,4.4
"SAMSUNG Galaxy 8.7"" Tab A7 Lite Wi-Fi Tablet 3GB RAM 32GB Capacidad, batería de Larga duración 5.100mAh - Plata - SM-T220NZSBXAR (reacondicionado)",tablet,Available,2434.78,2434.78,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/81NrkWJMSNL._AC_UL320_.jpg,801.0,4.4
"Samsung Galaxy Tab A 8.4"" 32GB, moca SM-T307UZNATMB (2020) - T-Mobile (Reacondicionado)",tablet,Available,1966.71,1966.71,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61Srd7vM0sL._AC_UL320_.jpg,53.0,3.9
"ACER Tablet Iconia Tab P10 | 10.4"" 2K 2000 x 1200 IPS Multi-táctil | RAM 4GB, 128GB | Android 12 | CPU M8183 Octa-Core | WiFi 5 | Cámara Frontal 5MP y Trasera 8MP | Cubierta metálica",tablet,Available,3499.0,5999.0,2500.0,41.67,Yes,False,False,https://m.media-amazon.com/images/I/61jB1qnwSPL._AC_UL320_.jpg,1.0,1.0
Galaxy Tab A9 8.7 pulgadas WiFi Tablet | 64 GB 4 GB RAM (2023) (grafito) (renovado),tablet,Available,2718.48,2718.48,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51HL5sz4keL._AC_UL320_.jpg,10.0,3.7
"Samsung Galaxy Tab A9 (SM-X110), 64GB 4GB RAM, solo WiFi, versión internacional (paquete de cargador de pared de 15W) (gris)",tablet,Available,3111.26,3111.26,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51HL5sz4keL._AC_UL320_.jpg,205.0,3.8
"Samsung Galaxy Tab A T307U 8.4 pulgadas Tablet 32GB WiFi + 4G LTE Verizon desbloqueado 1.8GHz, Mocha (reacondicionado)",tablet,Available,2268.34,2268.34,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61iAtKMpGnL._AC_UL320_.jpg,6.0,3.7
"Incluye Ñ, Vantisan Funda con Teclado para Samsung Galaxy Tab S9 Plus/Galaxy Tab S9+/S9 FE Plus, 12.4""(SM-X810 / SM-X816B-5G), Teclado Magnético Desmontable Bluetooth, 7 Colores Luz, soporte para SPen",case,Available,863.99,959.99,96.0,10.0,Yes,False,False,https://m.media-amazon.com/images/I/71nkjVC6nkL._AC_UL320_.jpg,13.0,4.1
"YAPANIZCEL 2 Micas Cristal templado para Samsung Galaxy Tab A9 8.7""(SM-X110, SM-X115), Mica Screen Protector Transparente Vidrio Cristal Templado de Pantalla. (2 Micas)",tablet,Available,175.99,199.99,24.0,12.0,Yes,False,False,https://m.media-amazon.com/images/I/61GXNxbUz9L._AC_UL320_.jpg,2.0,5.0
"Samsung Galaxy Tab S7 (tableta 5G) LTE/WiFi (AT&T), Mystic Black - 128 GB (modelo 2020 - Versión de EE. UU. y garantía) - SM-T878UZKAATT (renovado)",tablet,Available,6206.34,6206.34,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/41OeG8nbhYS._AC_UL320_.jpg,11.0,4.0
"SAMSUNG Galaxy Tab S9+ Plus 12.4 pulgadas 512 GB, tablet WiFi 6E Android, procesador Snapdragon 8 Gen2, visualización AMOLED, bolígrafo S, clasificación IP68, versión de EE. UU., 2023, grafito",tablet,Out of Stock,,0.0,24.0,12.0,Yes,False,False,https://m.media-amazon.com/images/I/71RXkwrLY4L._AC_UL320_.jpg,14.0,4.5
"SAMSUNG Galaxy Tab S7 FE 2021 - Tablet Android de 12.4 Pulgadas, WiFi 64 GB, bolígrafo S Incluido batería de Larga duración, Rendimiento Potente, Negro místico (reacondicionado)",tablet,Available,6403.95,6403.95,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/91pjZAMbEUS._AC_UL320_.jpg,618.0,4.4
"vantisan Funda Teclado para Samsung Galaxy Tab A9 Plus 11"" 2023, Keyboard Inalámbrico Bluetooth Recargable con Soporte para lápices, Funda Teclado para Samsung Galaxy Tab A9 Plus 11 Pulgadas",case,Available,539.99,659.99,120.0,18.18,Yes,False,False,https://m.media-amazon.com/images/I/61oJBHv6XyL._AC_UL320_.jpg,23.0,4.6
"Bigqin 2 Piezas Pantalla Protector Compatible Con Samsung Galaxy Tab A7 Lite 8.7"" SM-T220 SM-T225, 9H Película Cristal Vidrio Templado HD Transparente Resistente Los Arañazos",tablet,Available,108.88,108.88,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/81-LeYrGnOL._AC_UL320_.jpg,50.0,4.4
"YAPANIZCEL 2 Micas Cristal templado para Samsung Galaxy Tab A9 8.7""(SM-X110, SM-X115), Mica Screen Protector Transparente Vidrio Cristal Templado de Pantalla. (2 Micas)",tablet,Available,175.99,199.99,24.0,12.0,Yes,False,False,https://m.media-amazon.com/images/I/61GXNxbUz9L._AC_UL320_.jpg,2.0,5.0
"YAPANIZCEL 2 Micas Cristal templado para Samsung Galaxy Tab A8 10.5 2022 Sm X200/205/207, Mica 10.5"" Screen Protector Transparente Vidrio Cristal Templado de Pantalla (2 Micas)",tablet,Available,175.0,199.99,24.99,12.5,Yes,False,False,https://m.media-amazon.com/images/I/81zTP9BKpNL._AC_UL320_.jpg,0.0,
"YAPANIZCEL 2 Micas Cristal templado para Samsung Galaxy Tab A7 Lite, Mica Screen Protector Transparente Vidrio Cristal Templado de Pantalla (2 Micas)",tablet,Available,175.99,199.99,24.0,12.0,Yes,False,False,https://m.media-amazon.com/images/I/7193VrYAG9L._AC_UL320_.jpg,1.0,5.0
"Compaq Tableta QTAB Plus 10.1"" I 6 GB RAM -128 GB ROM Incluye Teclado/Funda I Android 14 I WiFi **Version 2025**",case,Available,3999.0,4999.0,1000.0,20.0,Yes,False,False,https://m.media-amazon.com/images/I/51dMLDkEy0L._AC_UL320_.jpg,55.0,4.4
"YAPANIZCEL Mica Cristal templado para Samsung Galaxy Tab A9 8.7""(SM-X110, SM-X115), Mica Screen Protector Transparente Vidrio Cristal Templado de Pantalla",tablet,Available,199.0,199.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61Y+INIYBTL._AC_UL320_.jpg,13.0,4.3
"YAPANIZCEL Mica Cristal templado para Samsung Galaxy Tab A9+ Plus 11"" (SM-X210, SM-X216) Mica Screen Protector Transparente Vidrio Cristal Templado de Pantalla",tablet,Available,199.0,199.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/618skGpbTmL._AC_UL320_.jpg,22.0,4.0
"TSQQST Funda para Samsung Galaxy Tab A8 de 10,5 Pulgadas 2022 con Soporte/Protector de Pantalla de Cristal | SM-X200/X205/X207 Estuche para Niños | Funda Resistente Defender para Samsung A8 | Negro",case,Available,549.0,549.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71OM-SxOZpL._AC_UL320_.jpg,348.0,4.6
