name,product_type,availability,price,original_price,discount_amount,discount_percentage,has_discount,buen_fin_discount,black_friday_discount,image,reviews_count,rating
Samsung Galaxy Tab A9 4GB_64GB Color Gris,tablet,Available,2499.0,2699.0,200.0,7.41,Yes,False,False,https://m.media-amazon.com/images/I/5169txVgFWL._AC_UL320_.jpg,657.0,4.6
"SAMSUNG Tablet Galaxy Tab A9 8.7"" 8GB 128GB Octa Core MEDIATEK Helio G99 Android 13 Gris SM-X110NZAEL06 Garantia con Fabricante",tablet,Available,3489.0,3489.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/41FPVH0pbUL._AC_UL320_.jpg,16.0,4.9
"SAMSUNG Galaxy Tab A9+, 8GB RAM, 128GB, Color Gris Grafito",tablet,Available,3980.0,4499.0,519.0,11.54,Yes,False,False,https://m.media-amazon.com/images/I/5128CkYTp5L._AC_UL320_.jpg,514.0,4.6
"SAMSUNG Tablet Galaxy Tab A9+ 11"" 4GB 64GB Octa Core Android 13 Plata SM-X210NZSAMXO Garantia con Fabricante",tablet,Available,3099.0,3099.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/31-L9Nu8vjL._AC_UL320_.jpg,1.0,5.0
"SAMSUNG Galaxy Tab S9 FE Gris 8GB RAM 256GB, Spen, Smart Book Cover, Nacional con Garantía",tablet,Available,7999.0,8999.0,1000.0,11.11,Yes,False,False,https://m.media-amazon.com/images/I/416-omnWfEL._AC_UL320_.jpg,1011.0,4.7
"SAMSUNG Galaxy Tab A9+ Plata 8GB RAM 128GB, Nacional con Garantía",tablet,Available,4369.0,4369.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51hk7s97ZNL._AC_UL320_.jpg,242.0,4.6
"SAMSUNG Galaxy Tab A9+ (SM-X210), 64GB 4GB RAM, solo WiFi, visualización de 11 pulgadas, versión internacional - (grafito)",tablet,Available,3099.0,3099.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51RPJ0gPSXL._AC_UL320_.jpg,19.0,3.7
Tableta Galaxy-Tab-A9 8.7 INC 8GB 128 GB Silver WiFi Samsung,tablet,Available,3399.0,3399.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51MTx42E4GL._AC_UL320_.jpg,25.0,4.2
"Lenovo Tab M11 | 11"" WUXGA MediaTek Helio G88 8GB RAM 128GB | 4 Speakers Dolby Atmos, Cámara 8.0MP Frontal 8.0MP | Android 13, Incluye Folio Case Tab Pen Plus",tablet,Available,4027.24,4699.0,671.76,14.3,Yes,False,False,https://m.media-amazon.com/images/I/71ezLwZc4gL._AC_UL320_.jpg,96.0,4.5
"Samsung Galaxy Tab S10 Ultra Gris 12GB RAM 256GB, AI, Spen, 1 año con Garantía",tablet,Available,17999.0,26999.0,9000.0,33.33,Yes,False,False,https://m.media-amazon.com/images/I/41LEJycnrwL._AC_UL320_.jpg,0.0,
Samsung Galaxy Tab S6 Lite 2024 Color Rosa RAM 4GB 128GB,tablet,Out of Stock,,0.0,9000.0,33.33,Yes,False,False,https://m.media-amazon.com/images/I/31zTjUDn2oL._AC_UL320_.jpg,366.0,4.5
"Lenovo Tab P12 | 12.7"" 3K | 8GB + 256GB MediaTek Dimensity 7050 | Cámara 13 MP Altavoces JBL | Android 13",tablet,Available,8999.0,10999.0,2000.0,18.18,Yes,False,False,https://m.media-amazon.com/images/I/51SF34dhsZL._AC_UL320_.jpg,94.0,4.8
