name,product_type,availability,price,original_price,discount_amount,discount_percentage,black_friday_discount,image,reviews_count,rating
"SAMSUNG Galaxy Watch6 Classic 47mm Negro, Nacional con Garantía",watch,Available,"$3,799.00","$7,199.00","$3,400.00",47.23%,No,https://m.media-amazon.com/images/I/61s77epX5QL._AC_UL320_.jpg,508,4.5 de 5 estrellas
Samsung Smartphone A25 8+256GB 5G Azul Dual SIM,smartphone,Available,"$4,945.97","$4,945.97","$3,400.00",47.23%,No,https://m.media-amazon.com/images/I/51i2bWQ8xxL._AC_UL320_.jpg,119,4.0 de 5 estrellas
SAMSUNG Televisión Pantalla 50 Pulgadas Smart TV Crystal 4K UHD UN-50DU7010,tv,Out of Stock,N/A,0,"$3,400.00",47.23%,No,https://m.media-amazon.com/images/I/81BYULoEBRL._AC_UL320_.jpg,2,5.0 de 5 estrellas
"Samsung Smart TV 55"" 4K Crystal UHD (UN55DU7000FXZX)",tv,Available,"$7,989.00","$9,999.00","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/61r48OQOc+L._AC_UL320_.jpg,108,4.5 de 5 estrellas
"Samsung Galaxy A05 Verde Claro, 4GB_64GB l Internacional",smartphone,Available,"$2,052.00","$2,052.00","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/71gwC+4xZSL._AC_UL320_.jpg,54,4.4 de 5 estrellas
"SAMSUNG Galaxy Z Flip 3 5G - Teléfono celular Android desbloqueado de fábrica, versión de EE. UU., Smartphone, modo flexible, cámara intuitiva compacta, almacenamiento de 128 GB, garantía de EE. UU.,",smartphone,Available,"$6,881.85","$6,881.85","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/61JXIlARNfL._AC_UL320_.jpg,"1,579",3.7 de 5 estrellas
Smartphone SAMSUNG A15 6+128GB LTE Amarillo Dual SIM,smartphone,Available,"$3,871.51","$3,871.51","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/51rK-Be8dxL._AC_UL320_.jpg,331,4.5 de 5 estrellas
"Samsung - Galaxy S21 FE Teléfono celular 5G, smartphone Android desbloqueado de fábrica, 128 GB, pantalla 120 Hz, cámara profesional, batería inteligente para todo el día, lavanda (reacondicionado)",smartphone,Available,"$5,144.23","$5,144.23","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/61RS9sG3wdL._AC_UL320_.jpg,380,4.0 de 5 estrellas
Cartuchos de tóner MLT-D708S con Chip de Repuesto para Samsung MLT-D708S Cartucho de tóner Funciona con Impresora para Samsung MLT-D708S,another,Available,"$1,095.99","$1,095.99","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/71wfCIf7A9L._AC_UL320_.jpg,Hasta 12 meses de,No Rating
Cartuchos de Tóner MLT-D201S con Chip de Repuesto para Samsung el Tóner MLT-D201S Funciona con Impresoras para Samsung MLT-D201S,another,Available,$989.99,$989.99,"$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/71z+ICtgh9L._AC_UL320_.jpg,Hasta 12 meses de,No Rating
Cartuchos de Tóner MLT-D305S con Chip de Repuesto para Samsung MLT-D305S Cartucho de Tóner Funciona con Impresoras para Samsung MLT-D305S,another,Available,"$1,061.99","$1,061.99","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/71QogCvgZFL._AC_UL320_.jpg,Hasta 12 meses de,No Rating
Cartuchos de Tóner MLT-D204L con Chip de Repuesto para Samsung MLT-D204L Cartucho de Tóner Funciona con Impresoras para Samsung MLT-D204L,another,Available,"$1,166.99","$1,166.99","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/71OcvFhlQrL._AC_UL320_.jpg,Hasta 12 meses de,No Rating
Cartuchos de tóner SCX-4521 con Chip de Repuesto para Samsung SCX-4521 Cartucho de tóner Funciona con Impresora para Samsung SCX-4521,another,Available,"$1,061.99","$1,061.99","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/713z2d58oOL._AC_UL320_.jpg,Hasta 12 meses de,No Rating
Cartuchos de Tóner MLT-D205L con Chip de Repuesto para Samsung MLT-D205L el Tóner Funciona con Las Impresoras para Samsung MLT-D205L,another,Available,$989.99,$989.99,"$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/716VUO5zZ1L._AC_UL320_.jpg,Hasta 12 meses de,No Rating
Cartuchos de Tóner MLT-K200L con Chip de Repuesto para Samsung MLT-K200L Cartucho de Tóner Funciona con Impresora para Samsung MLT-K200L,another,Available,"$1,061.99","$1,061.99","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/71fw0qD0a1L._AC_UL320_.jpg,Hasta 12 meses de,No Rating
Cartuchos de tóner D4725A con Chip de Repuesto para Samsung D4725A Cartucho de tóner Funciona con Impresora para Samsung D4725A,another,Available,"$1,096.99","$1,096.99","$2,010.00",20.10%,No,https://m.media-amazon.com/images/I/71d+95KrUmL._AC_UL320_.jpg,Hasta 12 meses de,No Rating
